ID,Name,Header_Affiliation,Author_Type,Credibility_Tier,Primary_Affiliation,Recent_Sources_Raw,Position_Summary,Representative_Quotes_Raw,Key_Arguments,Camp_Categorizations_Raw,Camp_Evolution,AI_Progress_Camp_Label,AI_Progress_Camp_PrimarySecondary,Society_Ethics_Camp_Label,Society_Ethics_Camp_PrimarySecondary,Enterprise_Camp_Label,Enterprise_Camp_PrimarySecondary,Governance_Camp_Label,Governance_Camp_PrimarySecondary,Future_of_Work_Camp_Label,Future_of_Work_Camp_PrimarySecondary,All_URLs,Primary_Work_Title,Primary_Work_Outlet,Primary_Work_Date,Primary_Work_URL
ian_hogarth,Ian Hogarth,"Chair, UK AI Safety Institute; investor",Industry Leader,Thought Leader,UK AI Safety Institute,"Essay 'AI Nationalism' (2018, personal blog); Financial Times columns on AI and geopolitics (2023–2025); Public interviews as UK AI Safety Institute chair (2024–2025)",Frames frontier AI as a 'Godzilla'-scale technology that is both economically transformative and geopolitically destabilising; argues for strong public institutions and international coordination to manage national AI races.,'We are building something closer to a Godzilla than a helpful assistant.'; 'The big question is whether states can build the institutional capacity to govern frontier models.',Frontier AI will concentrate power in a few labs and states; compute and chip supply chains are now strategic assets; governments need technical capacity and evaluation infrastructure; sloppy acceleration creates tail risks that markets under-price.,AI progress: fast but fragile; needs guardrails; state capacity and evals are central; open science should be balanced with security.,"Moved from early-stage AI investor optimism to more governance-centric, safety-aware stance as models scaled and geopolitics heated up.",Cautious Accelerationist,Primary,Democratic Risk Steward,Primary,Strategic Compute Capitalist,Secondary,State Capacity Builder,Primary,Transition Planner,Secondary,https://www.ianhogarth.com/blog/ai-nationalism;https://www.ft.com;https://www.aisafetyinstitute.gov.uk,AI Nationalism,Personal blog,2018-06-01,https://www.ianhogarth.com/blog/ai-nationalism
ajeya_cotra,Ajeya Cotra,"Senior Research Analyst, Open Philanthropy (AI timelines)",Academic/Practitioner,Seminal Thinker,Open Philanthropy,"Report 'Forecasting TAI with Biological Anchors' (2020, updated 2022); biological anchors blog discussions; interviews on AI timelines (Future of Life, AXRP)",Builds a quantitative forecast for transformative AI using 'biological anchors' tied to brain and evolution; argues that transformative AI this century is more likely than not but deeply uncertain.,"'There is a real chance transformative AI is developed in the next few decades, but our uncertainty should be front and center.'; 'Biological anchors turn our ignorance into explicit distributions instead of vibes.'",Use brain and evolution as reference classes for training compute; treat timelines as distributions not point estimates; policy should plan for non-trivial probability of transformative AI by 2040; epistemic humility beats both doom and denial.,AI progress modeled via compute and scaling; longtermist but numerate; emphasises uncertainty and explicit probabilities for timelines.,"Shifted median timeline earlier as frontier labs demonstrated scaling and investment exploded, while still stressing wide uncertainty bands.",Quantitative Timelines Modeler,Primary,Longtermist Risk Planner,Primary,AI Strategy Evidence-Seeker,Secondary,Scenario Planning Advocate,Primary,Automation Probability Forecaster,Secondary,https://forecasting.tai.cotra.com;https://www.openphilanthropy.org;https://futureoflife.org,Forecasting TAI with Biological Anchors,Open Philanthropy (working report),2020-07-01,https://forecasting.tai.cotra.com
stuart_russell,Stuart Russell,"Professor of Computer Science, UC Berkeley; AI safety pioneer",Academic,Seminal Thinker,"University of California, Berkeley",Book 'Human Compatible' (2019); co-author of AI textbook 'Artificial Intelligence: A Modern Approach'; talks at UN and policy forums on beneficial AI,Warns that mis-specified objectives in powerful AI systems create catastrophic failures; argues for 'provably beneficial AI' that treats human preferences as uncertain and corrigible.,"'The problem is not malevolence, it's competence in pursuing the wrong objective.'; 'We need to design machines that are provably beneficial to humans.'","Orthodox reward-maximisation is unsafe at scale; AI systems must be uncertain about human preferences; alignment requires corrigibility, verification, and governance; near-term deployment in critical infrastructure should be cautious.","Alignment-first, specification-focused; safety as a formal and engineering problem tightly linked to policy.","Moved from general AI and textbook work to a leading critic of misaligned objectives as deep learning scaled, leaning into safety and governance after 2015.",Alignment-First Formalist,Primary,Human-Centric Ethicist,Primary,Responsible Automation Advocate,Secondary,Global Safety Governance Voice,Primary,Augmentation-Not-Replacement,Secondary,https://www.humancompatible.ai;https://www.penguinrandomhouse.com/books/566677/human-compatible;https://people.eecs.berkeley.edu/~russell,Human Compatible: Artificial Intelligence and the Problem of Control,Viking / Penguin Random House,2019-10-08,https://www.penguinrandomhouse.com/books/566677/human-compatible-by-stuart-russell
nick_bostrom,Nick Bostrom,"Professor of Philosophy, Oxford; Director, Future of Humanity Institute",Academic,Seminal Thinker,University of Oxford (Future of Humanity Institute),Book 'Superintelligence' (2014); essays on existential risk and AI control; later writings on AI governance and the 'vulnerable world' hypothesis,"Argues that superintelligent AI could permanently tilt the future, including existential catastrophe; stresses the 'control problem' and one-shot nature of superintelligence deployment.",'The first superintelligence may also be the last invention that humanity ever needs to make.'; 'We are like small children playing with a bomb.',"Superintelligence may be discontinuous and strategic; misaligned systems could end human agency; research and governance must reduce existential risk; society underinvests in low-probability, high-impact tail risks.",Canonical longtermist x-risk framing; AI as a civilisational bet with asymmetric downside.,"Recently softened some rhetoric and engaged more with practical governance, but core concern about x-risk from unaligned superintelligence remains.",Superintelligence Longtermist,Primary,Existential-Risk Ethicist,Primary,Macro-Strategy Architect,Secondary,Global X-Risk Governance,Primary,Job Discontinuity Alarmist,Secondary,https://nickbostrom.com;https://nickbostrom.com/books/superintelligence,"Superintelligence: Paths, Dangers, Strategies",Oxford University Press,2014-07-01,https://nickbostrom.com/books/superintelligence
eliezer_yudkowsky,Eliezer Yudkowsky,"Co-founder, MIRI; AI alignment commentator",Academic/Practitioner,Thought Leader,Machine Intelligence Research Institute,Essay series 'AGI Ruin: A List of Lethalities' (2022); posts and interviews on AI doom timelines; earlier technical alignment work on decision theory and corrigibility,Holds that unaligned AGI built under current incentives will almost certainly kill everyone; believes alignment is far behind capabilities and mainstream actors are unserious about the threat.,"'If anyone builds a sufficiently powerful AI under current conditions, I expect that literally everyone on Earth will die.'; 'You want scientific-revolution levels of insight in alignment before you push the big red button.'","Inner optimisers, deceptive alignment, and fast takeoff are likely; labs will not voluntarily slow; existing governance is too weak; only extreme slowdown, global coordination, or radically new alignment breakthroughs suffice.",Extremely pessimistic x-risk stance; AI race framed as near-certain doom under status quo.,Moved from speculative rationalist writings to more direct activism as scaling accelerated; tone has become increasingly urgent and pessimistic post-GPT-3/4.,Doom-Weighted Alarmist,Primary,Catastrophic-Risk Moralist,Primary,Lab Incentive Critic,Secondary,Hard Nonproliferation Hawk,Primary,Collapse-Before-Upgrade,Secondary,https://www.lesswrong.com;https://intelligence.org,AGI Ruin: A List of Lethalities,LessWrong / MIRI,2022-03-15,https://www.lesswrong.com/posts/HBxe6wdjxK239zajf/agi-ruin-a-list-of-lethalities
suresh_venkatasubramanian,Suresh Venkatasubramanian,"Professor, Brown; former OSTP AI Bill of Rights lead",Academic/Policy Maker,Thought Leader,Brown University; former White House OSTP,"'Blueprint for an AI Bill of Rights' (2022, OSTP); public talks unpacking the framework; academic work on algorithmic fairness","Co-led the US effort to articulate an 'AI Bill of Rights' focused on protecting civil rights, privacy, and human agency; emphasises practical levers and existing law over sci-fi narratives.","'This was always meant to be a blueprint, a vision, a set of values laid out, not a set of regulations.'; 'Systems should work, they shouldn’t discriminate, and they shouldn’t eliminate human interlocutors.'","AI should be governed as part of broader automated systems; fairness, non-discrimination, and notice are baseline; existing regulatory levers can be used; human fallback and contestability are crucial.",Sociotechnical realist framing of AI; civil-rights and administrative law as key battlegrounds.,"Shifted from mostly academic fairness work to high-impact policy work, then back to academia while shaping public discourse.",Sociotechnical Realist,Primary,Civil-Rights Governance,Primary,Responsible Automation in Practice,Secondary,Principles-First Regulator,Primary,Worker and Citizen Protections,Secondary,https://www.whitehouse.gov/ostp/ai-bill-of-rights;https://techpolicy.press;https://cs.brown.edu/people/suresh,Blueprint for an AI Bill of Rights,White House OSTP,2022-10-04,https://www.whitehouse.gov/ostp/ai-bill-of-rights
margaret_mitchell,Margaret Mitchell,"Chief Ethics Scientist, Hugging Face; co-author 'Stochastic Parrots'",Academic/Practitioner,Thought Leader,Hugging Face,"Paper 'On the Dangers of Stochastic Parrots' (FAccT 2021); work on Model Cards; public commentary on ethical AI and labor, data, and power","Critiques the 'scale is all you need' paradigm; argues large LMs embed and amplify harms; emphasises documentation, dataset curation, and worker rights as core to responsible AI.",'AI is neither artificial nor intelligent.'; 'Bigger models trained on everything are not automatically better for people.',"Transparency and documentation (model cards, datasheets) are prerequisites; focus on who benefits, who is harmed, and whose labor/data is exploited; decentralised, community-centric AI beats Big Tech monopoly.",Critical sociotechnical stance; justice and labor oriented; open-source but not naive about power.,"Became more openly critical of Big Tech after exit from Google, channeling that into open-source ethics work at Hugging Face.",Critical Sociotechnical Skeptic,Primary,Justice-Oriented Ethicist,Primary,Open-Source Responsibility,Secondary,Platform Accountability Advocate,Primary,Labor and Data Rights Defender,Secondary,https://dl.acm.org/doi/10.1145/3442188.3445922;https://huggingface.co/blog/model-cards,On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?,FAccT Conference Proceedings,2021-03-01,https://dl.acm.org/doi/10.1145/3442188.3445922
rumman_chowdhury,Rumman Chowdhury,"CEO, Humane Intelligence; former Twitter META lead",Practitioner,Thought Leader,Humane Intelligence,Press and interviews on participatory AI evaluation (2023–2025); US Science Envoy for AI role; coverage of Humane Intelligence red-teaming work,"Advocates for sociotechnical audits and community red-teaming of AI systems; warns that outsourcing human judgment to AI is a 'failure state'; stresses pluralistic, participatory governance.","'AI should be treated as a tool, not as a replacement for human thinking.'; 'Delegating our critical thinking to AI is a failure state.'","Third-party audits, bug bounties, and structured red-teaming are central; affected communities must be in the loop; AGI pursuit without accountability deepens power imbalances; AI literacy should be widespread, not elite.","Participatory, audit-first approach to responsible AI; structural harms over speculative doom.",Moved from in-house responsible AI roles at large platforms to independent auditing and public advocacy after seeing internal governance limits.,Participatory Evaluator,Primary,Human Agency Defender,Primary,Risk-Aware Deployment,Secondary,Audit-First Governance,Primary,Worker and Citizen Voice,Secondary,https://humane-ai.org;https://www.businessinsider.com;https://timesofindia.indiatimes.com,Humane Intelligence: Community-Driven AI Evaluation,Humane Intelligence / public talks,2024-01-01,https://humane-ai.org
judea_pearl,Judea Pearl,"Professor, UCLA; pioneer of causal inference",Academic,Seminal Thinker,"University of California, Los Angeles",Book 'The Book of Why' (2018); technical work on causal graphs and do-calculus; essays on AI and causality,"Argues that true intelligence requires causal models, not just pattern matching; current deep learning systems are 'curve-fitters' lacking understanding and counterfactual reasoning.","'You cannot claim credit for an answer if you do not know what question you answered.'; 'To be intelligent, machines must ask counterfactual questions.'","Causal graphs provide a calculus for explanation, intervention, and counterfactuals; AI systems without explicit causal models will hit ceilings in robustness, explainability, and generalisation; policy and science should adopt causal thinking.",Causal-first methodology; skeptical of scale-only narratives; emphasises explainability and decision quality.,"Has become more critical of 'causal-free' deep learning as hype around LLMs has grown, doubling down on the causal revolution framing.",Causal-First Methodologist,Primary,Explainability and Responsibility,Secondary,Decision-Grade Analytics,Primary,Evidence-Based Policy Analytics,Secondary,"Skill-Shift, not Just Task Automation",Secondary,https://bayes.cs.ucla.edu/WHY;https://ucla.in/2G2cVSk,The Book of Why: The New Science of Cause and Effect,Basic Books,2018-05-15,https://bayes.cs.ucla.edu/WHY
yejin_choi,Yejin Choi,"Professor, University of Washington; Senior Research Director, AI2",Academic,Thought Leader,University of Washington; Allen Institute for AI,TED talk 'Why AI is incredibly smart and shockingly stupid' (2023); research on commonsense reasoning and moral narratives; papers on value-aligned language models,"Highlights that current LLMs are 'incredibly smart and shockingly stupid' because they lack robust commonsense and moral reasoning; pushes for smaller, value-aligned models grounded in human norms.","'Common sense is not so common, especially for AI.'; 'We need AI systems that are not just smart, but also wise.'","Commonsense reasoning and norms are hard, under-valued problems; scaling alone will not fix brittleness; models should be trained to respect social norms; concentration of compute raises power and environmental concerns.","Grounding realist; focuses on commonsense, ethics, and sustainability as correctives to scale.","Evolved from core NLP research to explicit critiques of scale-only progress, linking technical work to societal implications.",Commonsense Builder,Primary,Norms-Aware Ethicist,Primary,Human-Centric NLP,Secondary,Democratic AI Research Ecosystem,Secondary,Reskilling with AI Assistants,Secondary,https://www.ted.com/talks/yejin_choi_why_ai_is_incredibly_smart_and_shockingly_stupid;https://ai2-website.s3.amazonaws.com/team/yejin-choi.html,Why AI Is Incredibly Smart and Shockingly Stupid,TED Talk,2023-04-28,https://www.ted.com/talks/yejin_choi_why_ai_is_incredibly_smart_and_shockingly_stupid
